ticker,event_date,filing_form_type,constructed_url,original_score,llm_adjustment,shadow_score,original_tier,shadow_tier,tier_move,catalyst_type,materiality,sentiment,confidence,validation_status,quote_validation_pass,final_should_affect_score,evidence_quote
CTRA,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/858470/000110465926008979/tm264761d1_8k.htm,43.582710856863564,5.0,48.582710856863564,Reject,C,Reject→C,merger_acquisition,high,bullish,0.9,valid,True,True,"On February 1, 2026, Coterra Energy Inc., a Delaware corporation (the “ Company ” or “ Coterra ”), entered into an Agreement and Plan of Merger (the “ Merger Agreement ”), with Devon Energy Corporation, a Delaware corporation (“ Devon ”), and Cubs Merger Sub, Inc., a Delaware corporation and a direct, wholly-owned subsidiary of Devon (“ Merger Sub ”)."
VG,2026-03-27,8-K,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000021/vg-20260326.htm,42.116173708616856,5.0,47.116173708616856,Reject,C,Reject→C,regulatory,high,bullish,0.9,valid,True,True,"Venture Global, Inc. (“Venture Global”) issued a press release on March 26, 2026, regarding a settlement agreement between Venture Global Calcasieu Pass, LLC (“VGCP”) and Edison S.p.A. (“Edison”)."
QCOM,2026-04-30,10-Q,https://www.sec.gov/Archives/edgar/data/804328/000080432826000061/qcom-20260329.htm,53.4375,0.0,53.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
KDP,2026-04-24,10-Q,https://www.sec.gov/Archives/edgar/data/1418135/000141813526000026/kdp-20260331.htm,52.5,0.0,52.5,C,C,,unknown,none,neutral,0.0,valid,True,False,
EPD,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/1061219/000119312525318675/d792387d8k.htm,47.08333333333333,5.0,52.08333333333333,C,C,,merger_acquisition,high,bullish,0.9,valid,True,True,the closing of ExxonMobil’s acquisition of a 40-percent undivided joint interest in Enterprise’s Bahia natural gas liquids pipeline has been completed.
PG,2026-02-23,10-Q,https://www.sec.gov/Archives/edgar/data/80424/000008042426000011/pg-20251231.htm,52.08333333333333,0.0,52.08333333333333,C,C,,unknown,none,neutral,0.0,valid,True,False,
ORCL,2026-04-22,8-K,https://www.sec.gov/Archives/edgar/data/1341439/000119312526142939/d132760d8k.htm,46.5625,5.0,51.5625,C,C,,management_change,high,bullish,0.9,valid,True,True,"On April 6, 2026, Oracle Corporation (“Oracle”) announced that Hilary Maxson will join Oracle as Chief Financial Officer on April 6, 2026."
UAL,2026-02-06,8-K,https://www.sec.gov/Archives/edgar/data/100517/000110465926009237/tm263646d5_8k.htm,51.25,0.0,51.25,C,C,,unknown,none,neutral,0.0,valid,True,False,
DHI,2026-04-21,8-K,https://www.sec.gov/Archives/edgar/data/882184/000088218426000053/dhi-20260327.htm,51.25,0.0,51.25,C,C,,merger_acquisition,high,bullish,0.8,weak_evidence,True,False,"Pursuant to the terms of Amendment No. 13, the Administrative Agent and the Lenders party thereto agreed to, among other things, (i) increase the Aggregate Revolving Credit Commitment to $3.295 billion across multiple maturity tranches"
GD,2026-02-03,10-K,https://www.sec.gov/Archives/edgar/data/40533/000004053326000006/gd-20251231.htm,50.3125,0.0,50.3125,C,C,,unknown,none,neutral,0.0,valid,True,False,
PCG,2026-02-11,8-K,https://www.sec.gov/Archives/edgar/data/1004980/000199937125020477/pcg-8k_121725.htm,48.75,0.0,48.75,C,C,,management_change,high,bullish,0.9,weak_evidence,True,False,"On December 11, 2025, the Boards of Directors of PG&E Corporation and Pacific Gas and Electric Company (the “Utility”) approved leadership changes intended to better serve customers and support coworkers."
USB,2026-02-02,8-K,https://www.sec.gov/Archives/edgar/data/36104/000119312526029382/d25960d8k.htm,48.4375,0.0,48.4375,C,C,,management_change,medium,bullish,0.8,weak_evidence,True,False,the Company’s change in control benefits should be updated to align more closely with the practices of similarly-sized peer banks in the financial services industry
LNG,2026-03-27,8-K,https://www.sec.gov/Archives/edgar/data/3570/000119312526115956/d105636d8k.htm,48.4375,0.0,48.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
EOG,2026-03-27,10-K,https://www.sec.gov/Archives/edgar/data/821189/000082118926000054/eog-20251231.htm,48.4375,0.0,48.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
EXPE,2026-04-21,8-K,https://www.sec.gov/Archives/edgar/data/1324424/000110465926042073/tm2611456d1_8k.htm,48.4375,0.0,48.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
GILD,2026-02-09,8-K,https://www.sec.gov/Archives/edgar/data/882095/000110465925113968/tm2531634d1_8k.htm,48.4375,0.0,48.4375,C,C,,management_change,medium,neutral,0.7,invalid_quote,False,False,"On November 19, 2025, Gilead Sciences, Inc., a Delaware corporation (the “Company”), announced that Deborah H. Telman will no longer serve as Executive Vice President, Corporate Affairs and General Counsel of the Company as of December 5, 2025."
MS,2026-04-15,ARS,,48.4375,0.0,48.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
EQT,2026-02-27,ARS,,48.333333333333336,0.0,48.333333333333336,C,C,,unknown,none,neutral,0.0,valid,True,False,
VLO,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/1035002/000162828026003974/vlo-20260129.htm,48.333333333333336,0.0,48.333333333333336,C,C,,earnings,high,bullish,0.9,weak_evidence,True,False,"On January 29, 2026, Valero Energy Corporation (the “Company”) issued a press release announcing the Company’s financial and operating results for the fourth quarter ended December 31, 2025."
SCHW,2026-02-09,8-K,https://www.sec.gov/Archives/edgar/data/316709/000119312526029376/d57309d8k.htm,48.33333333333333,0.0,48.33333333333333,C,C,,management_change,medium,bullish,0.8,weak_evidence,True,False,"On January 29, 2026, the Board of Directors of The Charles Schwab Corporation (the “Company”) appointed Dennis Howard as Managing Director, Chief Technology, Operations and Data Officer of the Company, effective immediately."
F,2026-02-25,10-K,https://www.sec.gov/Archives/edgar/data/37996/000003799626000015/f-20251231.htm,47.916666666666664,0.0,47.916666666666664,C,C,,unknown,none,neutral,0.0,valid,True,False,
COIN,2026-04-17,8-K,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000035/coin-20260407.htm,47.5,0.0,47.5,C,C,,management_change,medium,neutral,0.7,weak_evidence,True,False,"On April 7, 2026, Paul Clement informed Coinbase Global, Inc. (“Coinbase”) that he will not stand for re-election to Coinbase’s Board of Directors (the “Board”) when his current term expires at Coinbase’s 2026 Annual Meeting of Shareholders (the “2026 Annual Meeting”)."
EXC,2026-02-13,10-K,https://www.sec.gov/Archives/edgar/data/1109357/000110935726000018/exc-20251231.htm,47.5,0.0,47.5,C,C,,unknown,none,neutral,0.0,valid,True,False,
ELV,2026-04-30,10-Q,https://www.sec.gov/Archives/edgar/data/1156039/000115603926000043/elv-20260331.htm,47.5,0.0,47.5,C,C,,unknown,none,neutral,0.0,valid,True,False,
PEG,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/788784/000119312526018045/d78622d8k.htm,47.5,0.0,47.5,C,C,,management_change,medium,bullish,0.8,weak_evidence,True,False,"the Board of Directors (the “Board”) of Public Service Enterprise Group Incorporated (the “Company”) elected Geisha J. Williams to serve as a new director effective March 1, 2026."
KKR,2026-04-15,10-K,https://www.sec.gov/Archives/edgar/data/1404912/000140491226000007/kkr-20251231.htm,47.5,0.0,47.5,C,C,,unknown,none,neutral,0.0,valid,True,False,
T,2026-02-12,10-K,https://www.sec.gov/Archives/edgar/data/732717/000073271726000120/t-20251231.htm,47.083333333333336,0.0,47.083333333333336,C,C,,unknown,none,neutral,0.0,valid,True,False,
MTB,2026-02-02,8-K,https://www.sec.gov/Archives/edgar/data/36270/000003627026000004/mbt-20260116.htm,47.08333333333333,0.0,47.08333333333333,C,C,,earnings,high,bullish,0.9,weak_evidence,True,False,"On January 16, 2026, M&T Bank Corporation (“M&T”) announced its results of operations for the quarter ended and year ended December 31, 2025."
PFE,2026-02-10,8-K,https://www.sec.gov/Archives/edgar/data/78003/000007800326000005/pfe-20260203.htm,47.08333333333333,0.0,47.08333333333333,C,C,,earnings,high,bullish,0.9,weak_evidence,True,False,"On February 3, 2026, Pfizer Inc. (“Pfizer”) issued a press release announcing its financial results for the fourth quarter of 2025."
DVN,2026-03-27,8-K,https://www.sec.gov/Archives/edgar/data/1090012/000119312526122224/d48781d8k.htm,47.08333333333333,0.0,47.08333333333333,C,C,,regulatory,medium,bullish,0.8,weak_evidence,True,False,"the Amendment, among other things, (i) extends the maturity date of the Credit Agreement from March 24, 2030 to March 24, 2031"
D,2026-02-10,8-K,https://www.sec.gov/Archives/edgar/data/715957/000119312526035749/d37893d8k.htm,46.25,0.0,46.25,C,C,,management_change,medium,bullish,0.7,invalid_quote,False,False,the Dominion Energy Compensation and Talent Development Committee approved the 2026 Annual Incentive Plan
IMO,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/49938/000004993826000007/imo-20260130.htm,46.25,0.0,46.25,C,C,,earnings,high,bullish,0.8,weak_evidence,True,False,"the company's financial condition and results of operations for the fiscal quarter ended December 31, 2025."
NRG,2026-02-24,8-K,https://www.sec.gov/Archives/edgar/data/1013871/000110465926010079/tm264874d1_8k.htm,46.25,0.0,46.25,C,C,,management_change,medium,bullish,0.8,invalid_quote,False,False,"On February 3, 2026, the Board of Directors (the “Board”) of NRG Energy, Inc. (the “Company”), pursuant to the recommendation of the Company’s Governance and Nominating Committee, appointed Sanjay Kapoor to serve as an independent director, effective immediately."
UNH,2026-04-29,8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176626000121/unh-20260421.htm,46.25,0.0,46.25,C,C,,earnings,high,bullish,0.9,weak_evidence,True,False,"On April 21, 2026, UnitedHealth Group Incorporated (the “Company”) issued a press release announcing its first quarter 2026 results."
DELL,2026-04-24,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000013/dell-20260415.htm,46.25,0.0,46.25,C,C,,unknown,none,neutral,0.0,valid,True,False,
SYY,2026-02-03,10-Q,https://www.sec.gov/Archives/edgar/data/96021/000009602126000009/syy-20251227.htm,46.0,0.0,46.0,C,C,,unknown,none,neutral,0.0,valid,True,False,
MPC,2026-02-06,8-K,https://www.sec.gov/Archives/edgar/data/1510295/000151029526000003/mpc-20260203.htm,45.625,0.0,45.625,C,C,,earnings,high,bullish,0.9,weak_evidence,True,False,"On February 3, 2026, Marathon Petroleum Corporation issued a press release announcing its financial results for the quarter and year ended December 31, 2025."
UPS,2026-02-02,8-K,https://www.sec.gov/Archives/edgar/data/1090727/000162828026003510/ups-20260127.htm,45.41666666666667,0.0,45.41666666666667,C,C,,earnings,high,bullish,0.9,invalid_quote,False,False,"the Company issued a press release containing information about the Company’s results of operations and financial condition for the quarter ended December 31, 2025."
HUM,2026-04-29,8-K,https://www.sec.gov/Archives/edgar/data/49071/000004907126000015/hum-20260416.htm,45.416666666666664,0.0,45.416666666666664,C,C,,management_change,medium,bullish,0.8,weak_evidence,True,False,"The non-binding, advisory vote with respect to the Company’s executive compensation was approved."
DG,2026-02-13,8-K,https://www.sec.gov/Archives/edgar/data/29534/000110465926009777/tm264806d1_8k.htm,42.232487095649866,0.0,42.232487095649866,Reject,Reject,,management_change,medium,neutral,0.7,weak_evidence,True,False,"The Board has appointed current independent director David P. Rowland to serve as the Company’s Chairman of the Board, effective February 4, 2026."
PPL,2026-02-24,10-K,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/ppl-20251231.htm,42.10888194345349,0.0,42.10888194345349,Reject,Reject,,unknown,none,neutral,0.0,valid,True,False,
LOW,2026-02-06,10-Q,https://www.sec.gov/Archives/edgar/data/60667/000006066725000210/low-20251031.htm,41.02434086738299,0.0,41.02434086738299,Reject,Reject,,unknown,none,neutral,0.0,valid,True,False,
PBR,2026-03-11,6-K,https://www.sec.gov/Archives/edgar/data/1119639/000129281426000721/pbr20260306_6k.htm,40.87778729882435,0.0,40.87778729882435,Reject,Reject,,management_change,medium,bullish,0.8,weak_evidence,True,False,"Petrobras informs that it has so far received the following nominations for the Company’s Board of Directors (BoD) and Fiscal Council (FC), whose elections will take place at Petrobras’ 2026 Shareholders’ General Meeting."
