asset_type,name,description,source_or_format,row_count,date_min,date_max,freshness,consumers
db_table,schema_version,Tracks applied DB schema migrations by version number.,storage/migrations.py,5,,,on schema migration,storage/migrations.py;storage/db.py
db_table,companies,"Master universe of equities with metadata, sector, market cap, and SEC CIK.","ingestion/ingest_prices.py, ingestion/ingest_sec.py",510,,,daily,features/feature_builder.py;features/momentum.py;features/quality.py;features/valuation.py;features/catalyst.py;scoring/scorecard.py;health/operational.py;pipelines/daily_radar.py;missed/catalyst_queue.py
db_table,source_runs,"Audit log of each data ingestion run: source, status, record counts, errors.",ingestion/orchestrator.py,161,2026-05-01 08:38:44.748575,2026-05-02 11:53:41.844528,each pipeline run,health/operational.py;ingestion/orchestrator.py
db_table,filings,"SEC EDGAR filing index (10-K, 10-Q, 8-K, etc.) per ticker.",SEC EDGAR XBRL API (ingestion/ingest_sec.py),1252238,1995-02-09,2026-05-01,daily,features/catalyst.py;features/risk.py;features/filer_utils.py;missed/catalyst_sampler.py;missed/detector.py;missed/investigator.py;review/packet_builder.py;ingestion/ingest_sec.py
db_table,fundamentals_raw,"Raw XBRL concept values from SEC filings (revenue, net income, shares, etc.).",SEC EDGAR XBRL API (ingestion/ingest_sec.py),1058100,1989-12-31,2199-12-31,daily,features/quality.py;features/valuation.py;health/operational.py
db_table,fundamentals_features,"Processed fundamental features per ticker per date (revenue growth, net margin, dilution, etc.).","features/quality.py, features/valuation.py",0,,,daily,scoring/scorecard.py;health/operational.py;features/feature_builder.py
db_table,prices_daily,Daily OHLCV price data per ticker from Stooq/Polygon.,ingestion/ingest_prices.py (Stooq/Polygon),124978,2025-05-02,2026-05-01,daily,features/momentum.py;features/valuation.py;features/risk.py;features/feature_builder.py;pipelines/daily_radar.py;backtest/historical_replay.py;backtest/labels.py;missed/detector.py;missed/investigator.py;review/packet_builder.py
db_table,macro_series,"Macroeconomic time series (FRED: rates, spreads, VIX, etc.).",FRED API (ingestion/ingest_prices.py),94,2023-04-01,2026-04-30,daily,features/momentum.py;health/operational.py
db_table,short_interest,FINRA short interest data per ticker per settlement date.,FINRA API (ingestion/ingest_finra.py),0,,,bi-monthly (FINRA schedule),features/momentum.py;health/operational.py
db_table,events,"Catalytic events per ticker: earnings, FDA, conferences, insider buys, etc.",ingestion/ingest_events.py (multiple APIs),63,2026-05-01,2026-06-01,daily,features/catalyst.py;health/operational.py
db_table,features,Computed feature scores per ticker per run (grouped by feature_group).,features/feature_builder.py,65948,,,each pipeline run,scoring/scorecard.py;health/operational.py
db_table,scores,"Composite scores per ticker per run (cheap, quality, catalyst, momentum, total) with tier assignment.",scoring/scorecard.py,4260,2026-05-01,2026-05-02,each pipeline run,scoring/ranker.py;review/packet_builder.py;missed/catalyst_sampler.py;missed/catalyst_queue.py;missed/detector.py;missed/investigator.py;health/operational.py;health/data_quality.py;pipelines/weekly_review.py;pipelines/daily_radar.py;learning/calibration.py;main.py (shadow command)
db_table,hypotheses,Investment theses for top-ranked candidates with structured evidence and status tracking.,pipelines/daily_radar.py,1125,,,each pipeline run,review/packet_builder.py;health/operational.py;learning/insights.py
db_table,rejections,Tickers rejected from scoring with reasons and risk flags.,scoring/tiers.py,3135,,,each pipeline run,health/operational.py;pipelines/daily_radar.py
db_table,candidate_outcomes,"Forward return tracking for scored candidates (1d, 5d, 20d, 60d, 120d returns and drawdowns).",learning/insights.py,1125,2026-05-01,2026-05-02,daily (lookback fill),learning/insights.py;review/packet_builder.py;health/operational.py
db_table,backtest_runs,"Backtest summary results: hit rate, avg return, metrics per run.",learning/insights.py,1,2026-04-30,2026-04-30,on demand / pipeline run,learning/insights.py;health/operational.py
db_table,model_runs,"ML model training run metadata (XGBoost, features, metrics).",learning/insights.py,0,,,on demand,learning/insights.py;health/operational.py
db_table,llm_runs,"LLM inference audit log: provider, model, prompt version, tokens, cost, input/output hashes.","features/catalyst.py, pipelines/daily_radar.py",192,2026-05-01 08:48:50.275795,2026-05-02 11:55:03.122384,each pipeline run,health/operational.py;pipelines/daily_radar.py
db_table,alerts,Outbound alerts sent per ticker/channel with deduplication keys.,pipelines/daily_radar.py,0,,,each pipeline run,health/operational.py;pipelines/daily_radar.py
db_table,pipeline_runs,"High-level pipeline execution log: universe size, sources, candidates scored, tier counts, status.",pipelines/daily_radar.py,18,2026-05-01,2026-05-02,each pipeline run,health/operational.py;health/data_quality.py;main.py
db_table,review_notes,Human analyst notes attached to tickers or hypotheses.,review/packet_builder.py (user input),0,,,on analyst review,review/packet_builder.py;health/operational.py
db_table,dashboard_actions,"Audit log of actions taken via the review dashboard (status changes, annotations).",review/packet_builder.py (dashboard API),0,,,on user action,review/packet_builder.py;health/operational.py
db_table,candidate_reviews,"Structured analyst reviews of scored candidates: usefulness, thesis quality, evidence quality, false positive reasons.",review/packet_builder.py (user input),7,,,on analyst review,review/packet_builder.py;learning/insights.py;health/operational.py
db_table,scorecard_experiments,"Proposed and tested scoring changes: hypothesis, expected effect, backtest results, approval status.","learning/insights.py, scoring/scorecard.py",10,,,on experiment proposal/review,learning/insights.py;health/operational.py
db_table,missed_opportunity_events,Detected missed opportunity events: large moves in tickers we did or didn't catch.,missed/catalyst_queue.py,1238,2026-02-02,2026-05-01,daily,missed/catalyst_queue.py;health/operational.py
db_table,missed_opportunity_investigations,"Root cause investigations for missed opportunity events, with LLM enrichment status.",missed/catalyst_queue.py,1238,2026-02-02,2026-05-01,on investigation,missed/catalyst_queue.py;health/operational.py
db_table,missed_opportunity_root_causes,Individual root cause records per missed opportunity investigation.,missed/catalyst_queue.py,3728,2026-02-02,2026-05-01,on investigation,missed/catalyst_queue.py;health/operational.py
db_table,promotion_gate_results,Go/no-go gate results for promoting model or scoring experiments to production.,learning/insights.py,0,,,on promotion evaluation,learning/insights.py;health/operational.py
db_table,health_checks,"Operational health check results: check name, status, severity, message.","health/data_quality.py, health/operational.py",1446,2026-05-01 08:48:50.435822,2026-05-02 12:24:41.451898,each pipeline run,main.py;health/operational.py;health/data_quality.py
flat_file,daily_catalyst_queue.html,Current daily catalyst queue rendered as HTML for browser review.,HTML,78,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_llm_pilot_enriched.jsonl,LLM pilot study enriched candidates for catalyst scoring evaluation.,JSONL,100,,,,features/catalyst.py;.claude/local_scripts/regen_daily_queue.py
flat_file,catalyst_shadow_score_report.md,Summary report of catalyst shadow scoring results.,MD,59,,,,scoring/scorecard.py
flat_file,catalyst_llm_pilot_sample.jsonl,Sample of candidates used in the catalyst LLM pilot study.,JSONL,100,,,,features/catalyst.py
flat_file,daily_catalyst_queue.md,Current daily catalyst queue rendered as Markdown for human review.,MD,67,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_llm_pilot_review.csv,Human review results for the catalyst LLM pilot study.,CSV,50,,,,features/catalyst.py;learning/insights.py
flat_file,catalyst_shadow_score_rows.csv,Shadow scoring rows for catalyst model evaluation.,CSV,17,,,,scoring/scorecard.py;features/catalyst.py
flat_file,catalyst_near_threshold_enriched.jsonl,Near-threshold candidates enriched by LLM for calibration analysis.,JSONL,50,,,,features/catalyst.py;scoring/scorecard.py
flat_file,daily_catalyst_queue.csv,Current daily catalyst queue as a flat CSV for spreadsheet review.,CSV,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,daily_catalyst_queue_enriched.jsonl,Current daily catalyst queue with LLM-enriched summaries per candidate.,JSONL,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py;.claude/local_scripts/regen_daily_queue.py
flat_file,daily_catalyst_queue_cache.jsonl,LLM response cache for the daily catalyst queue to avoid redundant API calls.,JSONL,50,,,,missed/catalyst_queue.py;.claude/local_scripts/regen_daily_queue.py
flat_file,catalyst_queue_history/2026-05-03/daily_catalyst_queue.html,Current daily catalyst queue rendered as HTML for browser review.,HTML,78,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-03/daily_catalyst_queue.md,Current daily catalyst queue rendered as Markdown for human review.,MD,67,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-03/daily_catalyst_queue.csv,Current daily catalyst queue as a flat CSV for spreadsheet review.,CSV,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-03/run_metadata.json,Run metadata JSON for historical catalyst queue runs.,JSON,11,,,,missed/catalyst_queue.py
flat_file,catalyst_queue_history/2026-05-03/manual_review.csv,Historical manual review CSV files archived by date.,CSV,0,,,,missed/catalyst_queue.py
flat_file,catalyst_queue_history/2026-05-03/daily_catalyst_queue_enriched.jsonl,Current daily catalyst queue with LLM-enriched summaries per candidate.,JSONL,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py;.claude/local_scripts/regen_daily_queue.py
flat_file,catalyst_queue_history/2026-05-02/daily_catalyst_queue.html,Current daily catalyst queue rendered as HTML for browser review.,HTML,75,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-02/daily_catalyst_queue.md,Current daily catalyst queue rendered as Markdown for human review.,MD,63,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-02/daily_catalyst_queue.csv,Current daily catalyst queue as a flat CSV for spreadsheet review.,CSV,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py
flat_file,catalyst_queue_history/2026-05-02/run_metadata.json,Run metadata JSON for historical catalyst queue runs.,JSON,11,,,,missed/catalyst_queue.py
flat_file,catalyst_queue_history/2026-05-02/manual_review.csv,Historical manual review CSV files archived by date.,CSV,2,,,,missed/catalyst_queue.py
flat_file,catalyst_queue_history/2026-05-02/daily_catalyst_queue_enriched.jsonl,Current daily catalyst queue with LLM-enriched summaries per candidate.,JSONL,43,,,,missed/catalyst_queue.py;pipelines/daily_radar.py;.claude/local_scripts/regen_daily_queue.py
